id,edad,educacion,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds,cluster
1,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,González Catán,-3,-3,-3,2,1,3,-3,3,3,3,2,3,2,0,-3,2
2,55 años o más,Terciario INCOMPLETO,Hombre,Lomas del Mirador,-3,-3,-2,1,1,1,0,3,3,2,1,2,2,0,-1,2
3,55 años o más,Terciario COMPLETO,Hombre,San Justo,-3,-3,-3,3,3,0,-3,3,3,3,2,3,3,0,-3,2
4,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,San Justo,-3,-3,-2,2,2,2,3,3,3,3,3,3,-1,2,-2,2
5,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Virrey del Pino,1,-2,-3,1,1,1,1,3,1,1,-2,0,1,0,1,2
6,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Laferrere,-2,-1,-1,-3,1,0,2,2,0,0,1,0,1,0,1,2
7,Entre 16 y 24 años,Secundaria COMPLETA,Hombre,La Tablada,2,3,3,2,2,-1,3,2,1,1,3,1,2,2,3,2
8,Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Laferrere,-3,-3,-3,-1,-2,0,-3,2,3,1,-2,0,2,0,-1,2
9,Entre 35 y 54 años,Primaria COMPLETA,Mujer,Aldo Bonzi,1,2,-3,-3,-3,1,-3,2,0,0,-3,0,0,0,1,1
10,55 años o más,Universitario COMPLETO,Hombre,Rafael Castillo,-3,-3,-2,1,2,1,3,2,3,2,3,3,1,1,-3,2
11,Entre 35 y 54 años,Primaria COMPLETA,Mujer,González Catán,3,1,1,-2,2,1,1,2,-2,-2,-3,2,2,1,1,1
12,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,-3,-3,-3,3,3,3,-2,2,2,-3,3,-3,2,-3,-3,2
13,55 años o más,Primaria INCOMPLETA,Hombre,Virrey del Pino,-3,-3,-2,2,3,3,2,2,0,3,3,3,2,0,-3,2
14,Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Laferrere,-3,-3,-3,1,1,1,3,2,1,0,-1,0,1,0,-2,2
15,55 años o más,Universitario INCOMPLETO,Hombre,Ramos Mejía,-3,-3,-3,-1,1,2,-1,2,2,2,1,2,0,0,-2,2
16,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,-3,-3,-3,2,2,1,3,2,2,2,2,0,2,-2,-3,2
17,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Isidro Casanova,2,1,-2,-3,-1,1,-1,2,1,-1,2,1,1,1,1,2
18,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,Ramos Mejía,2,-1,-3,1,3,3,-1,2,2,1,-3,-2,-1,-2,-2,2
19,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Virrey del Pino,1,1,-3,-3,-3,0,-3,2,-1,0,-3,0,1,0,-2,1
20,Entre 25 y 34 años,Primaria INCOMPLETA,Mujer,Virrey del Pino,3,2,1,1,2,2,3,2,2,2,3,2,2,0,2,2
