edad_agrup,n_edu,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,González Catán,Muy negativa,Muy negativa,Muy negativa,Positiva,Regular positiva,Muy positiva,Muy negativa,Muy positiva,Muy positiva,Muy positiva,Positiva,Muy positiva,Positiva,No lo conozco,Muy negativa
55 años o más,Terciario INCOMPLETO,Hombre,Lomas del Mirador,Muy negativa,Muy negativa,Negativa,Regular positiva,Regular positiva,Regular positiva,No lo conozco,Muy positiva,Muy positiva,Positiva,Regular positiva,Positiva,Positiva,No lo conozco,Regular negativa
55 años o más,Terciario COMPLETO,Hombre,San Justo,Muy negativa,Muy negativa,Muy negativa,Muy positiva,Muy positiva,No lo conozco,Muy negativa,Muy positiva,Muy positiva,Muy positiva,Positiva,Muy positiva,Muy positiva,No lo conozco,Muy negativa
Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,San Justo,Muy negativa,Muy negativa,Negativa,Positiva,Positiva,Positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Regular negativa,Positiva,Negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Virrey del Pino,Regular positiva,Negativa,Muy negativa,Regular positiva,Regular positiva,Regular positiva,Regular positiva,Muy positiva,Regular positiva,Regular positiva,Negativa,No la conozco,Regular positiva,No lo conozco,Regular positiva
Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Laferrere,Negativa,Regular negativa,Regular negativa,Muy negativa,Regular positiva,No lo conozco,Positiva,Positiva,No lo conozco,No lo conozco,Regular positiva,No la conozco,Regular positiva,No lo conozco,Regular positiva
Entre 16 y 24 años,Secundaria COMPLETA,Hombre,La Tablada,Positiva,Muy positiva,Muy positiva,Positiva,Positiva,Regular negativa,Muy positiva,Positiva,Regular positiva,Regular positiva,Muy positiva,Regular positiva,Positiva,Positiva,Muy positiva
Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Laferrere,Muy negativa,Muy negativa,Muy negativa,Regular negativa,Negativa,No lo conozco,Muy negativa,Positiva,Muy positiva,Regular positiva,Negativa,No la conozco,Positiva,No lo conozco,Regular negativa
Entre 35 y 54 años,Primaria COMPLETA,Mujer,Aldo Bonzi,Regular positiva,Positiva,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Muy negativa,Positiva,No lo conozco,No lo conozco,Muy negativa,No la conozco,No lo conozco,No lo conozco,Regular positiva
55 años o más,Universitario COMPLETO,Hombre,Rafael Castillo,Muy negativa,Muy negativa,Negativa,Regular positiva,Positiva,Regular positiva,Muy positiva,Positiva,Muy positiva,Positiva,Muy positiva,Muy positiva,Regular positiva,Regular positiva,Muy negativa
Entre 35 y 54 años,Primaria COMPLETA,Mujer,González Catán,Muy positiva,Regular positiva,Regular positiva,Negativa,Positiva,Regular positiva,Regular positiva,Positiva,Negativa,Negativa,Muy negativa,Positiva,Positiva,Regular positiva,Regular positiva
Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,Muy negativa,Muy negativa,Muy negativa,Muy positiva,Muy positiva,Muy positiva,Negativa,Positiva,Positiva,Muy negativa,Muy positiva,Muy negativa,Positiva,Muy negativa,Muy negativa
55 años o más,Primaria INCOMPLETA,Hombre,Virrey del Pino,Muy negativa,Muy negativa,Negativa,Positiva,Muy positiva,Muy positiva,Positiva,Positiva,No lo conozco,Muy positiva,Muy positiva,Muy positiva,Positiva,No lo conozco,Muy negativa
Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Laferrere,Muy negativa,Muy negativa,Muy negativa,Regular positiva,Regular positiva,Regular positiva,Muy positiva,Positiva,Regular positiva,No lo conozco,Regular negativa,No la conozco,Regular positiva,No lo conozco,Negativa
55 años o más,Universitario INCOMPLETO,Hombre,Ramos Mejía,Muy negativa,Muy negativa,Muy negativa,Regular negativa,Regular positiva,Positiva,Regular negativa,Positiva,Positiva,Positiva,Regular positiva,Positiva,No lo conozco,No lo conozco,Negativa
